Date,Province,Vac Allocated AstraZeneca 1,Vac Allocated AstraZeneca 2,Vac Allocated Sinovac 1,Vac Allocated Sinovac 2,Vac Given,Vac Given 1 Cum,Vac Given 2 %,Vac Given 2 Cum,Vac Given AstraZeneca,Vac Given AstraZeneca Cum,Vac Given Cum,Vac Given Sinopharm,Vac Given Sinopharm Cum,Vac Given Sinovac,Vac Given Sinovac Cum,Vac Group Medical Staff 1 Cum,Vac Group Medical Staff 2 Cum,Vac Group Other Frontline Staff 1 Cum,Vac Group Other Frontline Staff 2 Cum,Vac Group Over 60 1 Cum,Vac Group Over 60 2 Cum,Vac Group Risk: Disease 1 Cum,Vac Group Risk: Disease 2 Cum,Vac Group Risk: Location 1 Cum,Vac Group Risk: Location 2 Cum
2021-03-07,Nakhon Pathom,0.0,0.0,3560.0,0.0,,1480.0,0.0,0.0,,0.0,1506.0,,0.0,,1506.0,1293.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,Nonthaburi,0.0,0.0,6000.0,0.0,,2107.0,0.0,0.0,,0.0,2107.0,,0.0,,2107.0,2076.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,Pathum Thani,0.0,0.0,8000.0,0.0,2.0,1902.0,0.0,0.0,0.0,0.0,1855.0,0.0,0.0,2.0,1855.0,1446.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0
2021-03-07,Phuket,0.0,0.0,4000.0,0.0,,1289.0,0.0,0.0,,0.0,1388.0,,0.0,,1388.0,1280.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,Ratchaburi,0.0,0.0,2520.0,0.0,,1261.0,0.0,0.0,,0.0,1194.0,,0.0,,1194.0,1112.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,Samut Prakan,0.0,0.0,6000.0,0.0,,2226.0,0.0,0.0,,0.0,2270.0,,0.0,,2270.0,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,Samut Sakhon,0.0,0.0,35080.0,0.0,,7886.0,0.0,0.0,,2.0,7845.0,,0.0,,7843.0,6667.0,0.0,1137.0,0.0,52.0,0.0,0.0,0.0,30.0,0.0
2021-03-07,Samut Songkhram,0.0,0.0,2000.0,0.0,,759.0,0.0,0.0,,0.0,804.0,,0.0,,804.0,555.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,Suphan Buri,,,,,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,
2021-03-07,Surat Thani,0.0,0.0,2520.0,0.0,,968.0,0.0,0.0,,0.0,968.0,,0.0,,968.0,365.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,Tak,0.0,0.0,5000.0,0.0,,1057.0,0.0,0.0,,0.0,1055.0,,0.0,,1055.0,1035.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Bangkok,0.0,0.0,33600.0,0.0,461.0,3097.0,0.0,0.0,0.0,0.0,3492.0,0.0,0.0,461.0,3492.0,2304.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Chiang Mai,0.0,0.0,3520.0,0.0,21.0,1661.0,0.0,0.0,0.0,0.0,1548.0,0.0,0.0,21.0,1548.0,1357.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Chonburi,0.0,0.0,4720.0,0.0,,2359.0,0.0,0.0,,0.0,2360.0,,0.0,,2360.0,2296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Nakhon Pathom,0.0,0.0,3560.0,0.0,163.0,1480.0,0.0,0.0,0.0,0.0,1669.0,0.0,0.0,163.0,1669.0,1293.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Nonthaburi,0.0,0.0,6000.0,0.0,325.0,2427.0,0.0,0.0,0.0,0.0,2432.0,0.0,0.0,325.0,2432.0,2400.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Pathum Thani,0.0,0.0,8000.0,0.0,253.0,1902.0,0.0,0.0,0.0,0.0,2108.0,0.0,0.0,253.0,2108.0,1446.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0
2021-03-08,Phuket,0.0,0.0,4000.0,0.0,235.0,1387.0,0.0,0.0,0.0,0.0,1623.0,0.0,0.0,235.0,1623.0,1348.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Ratchaburi,0.0,0.0,2520.0,0.0,32.0,1260.0,0.0,0.0,0.0,0.0,1226.0,0.0,0.0,32.0,1226.0,1111.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Samut Prakan,0.0,0.0,6000.0,0.0,232.0,2392.0,0.0,0.0,0.0,0.0,2502.0,0.0,0.0,232.0,2502.0,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Samut Sakhon,0.0,0.0,35080.0,0.0,713.0,8246.0,0.0,0.0,0.0,2.0,8558.0,0.0,0.0,713.0,8556.0,6667.0,0.0,1137.0,0.0,52.0,0.0,0.0,0.0,30.0,0.0
